Rpm_PMS	218	145	407	145	407	195	218	195	392	132	581	182	189	50
1	14	239	71	239	71	298	14	298	267	235	324	294	57	59
2	37	342	225	342	225	390	37	390	241	299	429	347	188	48
3	46	436	219	436	219	467	46	467	225	450	398	481	173	31
4	15	516	92	516	92	544	15	544	237	519	314	547	77	28
5	228	532	410	532	410	567	228	567	236	470	418	505	182	35
12	225	610	412	610	412	650	225	650	358	632	545	672	187	40
Power_GEN1_2	254	390	433	390	433	430	254	430	396	409	575	449	179	40
Power_SG1_2	513	242	692	242	692	291	513	291	611	257	790	306	179	49
Power_GEN2_2	510	387	697	387	697	433	510	433	609	397	796	443	187	46
Power_SG2_2	510	521	687	521	687	561	510	561	600	530	777	570	177	40
RPM_ME1	860	135	1054	135	1054	177	860	177	1014	108	1208	150	194	42
bar_ME1	866	171	1049	171	1049	211	866	211	1014	155	1197	195	183	40
RPM_ME2	859	229	1055	229	1055	266	859	266	1011	197	1207	234	196	37
bar_ME2	862	260	1053	260	1053	300	862	300	1025	240	1216	280	191	40
7	837	322	1027	322	1027	367	837	367	870	330	1060	375	190	45
8	834	431	1025	431	1025	503	834	503	1007	400	1198	472	191	72
RPM_ME3	853	510	1041	510	1041	555	853	555	1037	473	1225	518	188	45
bar_ME3	850	545	1035	545	1035	582	850	582	1037	523	1222	560	185	37
RPM_ME4	854	601	1031	601	1031	640	854	640	1043	580	1220	619	177	39
bar_ME4	854	630	1036	630	1036	672	854	672	1043	620	1225	662	182	42
10	1113	337	1280	337	1280	374	1113	374	1085	275	1252	312	167	37
11	1112	430	1280	430	1280	458	1112	458	1085	359	1253	387	168	28
6	204	241	403	241	403	295	204	295	386	259	585	313	199	54
